ID_Seller;Flujo_Caja
10307861; 2.808.796 
10248238; 2.808.637 
10362986; 2.807.855 
10283869; 2.807.838 
10117128; 2.807.389 
10254291; 2.806.617 
10146051; 2.798.202 
10188838; 2.797.739 
10285256; 2.797.627 
10311920; 2.793.707 
10224630; 2.792.329 
10187573; 2.786.382 
10291878; 2.785.934 
10221491; 2.784.777 
10032952; 2.777.418 
10286969; 2.777.029 
10279811; 2.776.894 
10308253; 2.776.456 
10336186; 2.774.036 
10098203; 2.771.000 
10379145; 2.768.168 
10288617; 2.761.079 
10087606; 2.757.059 
10266853; 2.753.947 
10140884; 2.750.879 
10212742; 2.740.995 
10042284; 2.735.924 
10056129; 2.733.767 
10290998; 2.727.562 
10071010; 2.724.756 
10323003; 2.720.665 
10361967; 2.717.087 
10324684; 2.716.544 
10362125; 2.715.706 
10235786; 2.705.962 
10018750; 2.704.698 
10283499; 2.704.139 
10144216; 2.703.393 
8431; 2.695.524 
10245901; 2.694.659 
10095910; 2.687.028 
10087526; 2.686.200 
10341810; 2.679.565 
10361196; 2.665.072 
10183952; 2.662.576 
10155827; 2.661.729 
12972; 2.659.351 
10341425; 2.658.916 
10175628; 2.654.350 
10072921; 2.640.544 
10297810; 2.619.343 
10269771; 2.616.103 
10228487; 2.615.032 
10362326; 2.615.025 
10227032; 2.610.473 
142854; 2.608.756 
10358487; 2.607.943 
10279881; 2.604.917 
10420755; 2.604.852 
10383271; 2.604.714 
10092678; 2.603.033 
10240609; 2.603.026 
10282197; 2.601.421 
10019867; 2.599.675 
10312685; 2.599.648 
10381394; 2.599.585 
10134511; 2.598.368 
13157; 2.595.351 
10383339; 2.594.404 
10074178; 2.593.741 
10375159; 2.588.662 
10406791; 2.587.468 
10192383; 2.585.729 
10169289; 2.584.186 
10285899; 2.563.329 
10341914; 2.561.219 
10162687; 2.560.471 
10168023; 2.559.456 
139413; 2.552.182 
109783; 2.550.194 
8963; 2.546.828 
10262647; 2.539.430 
10411078; 2.538.464 
1512; 2.535.741 
10297850; 2.535.543 
10275342; 2.531.821 
458; 2.530.140 
10296225; 2.529.360 
10160937; 2.524.346 
10162235; 2.514.686 
10392606; 2.513.597 
10323609; 2.512.513 
10344118; 2.510.090 
10031399; 2.509.883 
42878; 2.508.937 
10359523; 2.508.857 
10093225; 2.505.674 
10404916; 2.505.637 
10304878; 2.504.809 
10476670; 2.501.853 
10297231; 2.500.442 
10237126; 2.489.753 
10353220; 2.484.340 
10215024; 2.483.692 
10056744; 2.483.041 
10176677; 2.477.867 
10059911; 2.477.407 
10015399; 2.476.007 
10197594; 2.474.752 
10307261; 2.472.410 
10153887; 2.472.230 
10229286; 2.468.113 
10262450; 2.466.893 
10264762; 2.466.837 
10051878; 2.460.641 
10432119; 2.449.412 
13066; 2.446.669 
10253275; 2.445.449 
138956; 2.445.247 
10301767; 2.444.396 
10124602; 2.441.255 
10307331; 2.439.084 
10174728; 2.435.455 
10171410; 2.434.040 
10351541; 2.431.134 
10341665; 2.430.845 
10078112; 2.428.519 
10296407; 2.428.283 
10234910; 2.426.241 
10372511; 2.425.628 
10386688; 2.422.107 
10242450; 2.418.261 
10300502; 2.417.244 
10344396; 2.414.656 
10299438; 2.413.144 
10311557; 2.410.638 
10233540; 2.402.250 
10353113; 2.398.791 
10372772; 2.397.566 
10079663; 2.395.905 
10014344; 2.395.756 
10345459; 2.391.276 
10251216; 2.389.056 
10297444; 2.387.311 
10082017; 2.379.047 
10302312; 2.378.710 
10189310; 2.377.331 
10223764; 2.374.587 
10268647; 2.373.133 
10372293; 2.372.110 
26879; 2.371.679 
10416993; 2.369.621 
10277202; 2.364.581 
10351865; 2.356.430 
10052818; 2.353.725 
10341148; 2.353.282 
86470; 2.352.132 
10199148; 2.349.753 
10185626; 2.343.317 
10112484; 2.343.212 
10331033; 2.341.303 
10384644; 2.341.044 
10379019; 2.336.438 
10348098; 2.336.432 
10345524; 2.336.384 
10282940; 2.332.798 
10389378; 2.332.088 
10143463; 2.327.610 
10228595; 2.323.185 
10235567; 2.321.151 
10473070; 2.318.994 
139158; 2.318.070 
10175927; 2.315.621 
10154778; 2.315.325 
10392957; 2.308.608 
10313657; 2.307.780 
10231162; 2.306.601 
10261893; 2.305.647 
10294036; 2.305.197 
10365554; 2.304.211 
109631; 2.301.610 
10208156; 2.295.237 
146758; 2.294.901 
10367131; 2.294.027 
10256834; 2.293.706 
10037656; 2.288.063 
10337909; 2.287.156 
10044902; 2.285.286 
146205; 2.283.027 
10290640; 2.281.397 
10377305; 2.278.849 
10294665; 2.278.157 
82139; 2.276.833 
10364199; 2.276.337 
5855; 2.274.247 
10078484; 2.273.196 
10202263; 2.271.020 
10269697; 2.268.976 
10211107; 2.268.854 
10307063; 2.267.516 
10190639; 2.263.403 
10289089; 2.260.618 
10357670; 2.260.548 
10141183; 2.259.467 
10358129; 2.257.600 
10091784; 2.255.072 
10023641; 2.253.503 
10295648; 2.251.526 
10280521; 2.250.179 
10286489; 2.244.419 
10013498; 2.243.355 
10354340; 2.242.453 
10409091; 2.238.706 
10302490; 2.237.315 
10389723; 2.234.217 
10244292; 2.233.576 
10295094; 2.232.692 
10084071; 2.230.416 
10211346; 2.226.064 
10281855; 2.223.899 
10014610; 2.223.603 
