ID_Seller;Flujo_Caja
10256834;2293706
10037656;2288063
10337909;2287156
10044902;2285286
146205;2283027
10290640;2281397
10377305;2278849
10294665;2278157
82139;2276833
10364199;2276337
5855;2274247
10078484;2273196
10202263;2271020
10269697;2268976
10211107;2268854
10307063;2267516
10190639;2263403
10289089;2260618
10357670;2260548
10141183;2259467
10358129;2257600
10091784;2255072
10023641;2253503
10295648;2251526
10280521;2250179
10286489;2244419
10013498;2243355
10354340;2242453
10409091;2238706
10302490;2237315
10389723;2234217
10244292;2233576
10295094;2232692
10084071;2230416
10211346;2226064
10281855;2223899
10014610;2223603
10401183;2217967
10381105;2217635
10034721;2215890
10128999;2211556
10185930;2209928
10093448;2209403
10299985;2209255
10185684;2205791
10220088;2204430
10242664;2202304
10437775;2200411
10279427;2197494
89942;2196616
10273909;2196199
10219738;2189381
10322409;2188763
10291687;2186984
10168324;2185951
10045385;2183704
10267915;2183619
10478611;2182646
10284431;2182423
10189753;2178580
10112789;2172763
10195120;2171655
10251017;2169998
10098036;2169250
10091818;2168755
10206238;2168124
10037887;2168044
10158142;2166772
10352078;2166231
10402123;2165723
10387074;2163127
133171;2161872
10082755;2160765
10337165;2159003
10246591;2158948
10274692;2156613
10351253;2156021
